Time;Age;Gender;Education;CogSci;Native_Country;Current_Country;Years_Current;Order;Dilemma1;Dilemma2;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Q1;Q2;Q3;Q4;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Dilemma1;Dilemma2;;;;;;
04/05/2020 10.43.06;48;Female;Master´s degree;Yes;Hungary;Hungary;48;January, February, March, April, May or June;Cooperate;Donate;4;4;3;3;4;4;3;3;4;4;4;4;3;3;3;3;4;4;4;4;4;4;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 14.26.55;29;Female;Bachelor's degree;No;Spain;Denmark;4;January, February, March, April, May or June;Cooperate;Donate;2;3;3;3;4;3;2;3;3;2;5;4;2;3;2;2;3;3;3;5;4;4;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 14.53.56;63;Female;Bachelor's degree;No;Hungary;Canada;30;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;5;4;1;3;5;6;5;3;5;6;5;5;5;5;6;5;5;5;5;5;5;5;5;5;Defect;Donate;;;;;;
04/05/2020 15.39.22;25;Male;Bachelor's degree;No;Denmark;Denmark;25;January, February, March, April, May or June;Cooperate;Donate;2;2;3;2;2;1;1;3;1;3;1;1;2;1;2;3;1;1;3;1;1;1;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 16.37.04;41;Male;Master´s degree;No;Hungary;Hungary;41;January, February, March, April, May or June;Defect;Donate;2;3;2;2;4;4;5;4;4;3;4;3;3;3;2;5;3;3;5;4;3;2;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 19.40.08;17;Female;Less then a high school diploma;No;Hungary;Hungary;17;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;4;5;1;4;6;1;4;5;6;4;3;2;3;4;6;5;5;3;4;4;3;5;5;4;Cooperate;Keep;;;;;;
04/05/2020 22.50.06;24;Male;High school degree or equivalent;No;Denmark;Denmark;24;January, February, March, April, May or June;Defect;Donate;4;4;2;4;2;5;2;3;1;3;5;5;4;4;3;4;5;5;3;6;5;6;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 23.19.19;48;Male;PhD;No;Serbia;United Kingdom;9;January, February, March, April, May or June;Cooperate;Donate;4;4;3;4;5;6;5;4;5;5;5;5;5;4;4;4;4;5;5;5;4;5;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2020 22.14.24;33;Female;PhD;Yes;Brazil;Denmark;1;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;4;4;2;4;3;3;2;4;3;4;2;4;3;3;4;2;4;3;3;2;2;3;3;4;Cooperate;Keep;;;;;;
07/05/2020 11.22.08;67;Male;PhD;No;Hungary;Hungary;67;January, February, March, April, May or June;Cooperate;Keep;4;2;2;4;3;3;2;2;3;4;3;4;3;2;3;2;4;3;3;2;3;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2020 22.50.09;25;Female;Bachelor's degree;Yes;Denmark;Denmark;25;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;5;6;2;3;2;3;4;2;4;5;3;3;3;5;6;6;2;3;4;3;3;5;6;6;Cooperate;Keep;;;;;;
08/05/2020 11.20.26;27;Female;Master´s degree;No;Hungary;Hungary;24;July, August, September, October, November or December;;;;;;;;;;;;;;;;;;;;;;;4;5;2;5;5;6;3;2;5;3;2;4;5;4;5;3;2;3;5;4;4;5;6;5;Cooperate;Donate;;;;;;
